genus,species,id,latitude,longitude,locality
acanthoxyla,sp,acan-sp_121,-37.56285,178.15225,"Waenga Bush, Lottin Pt Rd"
acanthoxyla,sp,acan-sp_122,-37.606367,178.153883,"Waiaroho, East Cape"
acanthoxyla,sp,acan-sp_123,-44.3371,168.007283,"Martins Bay, along track to seal colony"
acanthoxyla,sp,acan-sp_124,-45.691433,166.715783,"Dusky Sound, Resolution Is"
acanthoxyla,sp,acan-sp_125,-46.027467,166.539067,"Chalky Inlet, Passage Is"
acanthoxyla,sp,acan-sp_126,-39.85725,176.900867,"Mohi Bush [Reserve], fork of Tk "
acanthoxyla,sp,acan-sp_127,-43.760067,169.1491,Ship Creek
acanthoxyla,sp,acan-sp_128,-39.318233,176.535417,"Puketitiri, Little Bush Res"
acanthoxyla,sp,acan-sp_129,-38.46675,178.049633,Waimata Valley
acanthoxyla,sp,acan-sp_130,-39.124283,177.875233,Mahia Peninsula
acanthoxyla,sp,acan-sp_131,-42.4297,171.295883,Sewell Peak
acanthoxyla,sp,acan-sp_132,-43.4857,172.68725,Travis Wetland
acanthoxyla,sp,acan-sp_133,-40.907517,172.85455,Rameka
argosarchus,horridus,argo_horr_1,-36.21805,175.0546333,Hauturu
argosarchus,horridus,argo_horr_2,-36.53451667,175.3995667,"Mt Moehau, Coromandel Pen."
argosarchus,horridus,argo_horr_3,-36.5434,175.4093667,Mount Moehau
argosarchus,horridus,argo_horr_4,-36.87255,175.53975,Mahakirau
argosarchus,horridus,argo_horr_5,-37.56513333,178.1517333,"Lottin Pt Rd, Waenga Bush"
argosarchus,horridus,argo_horr_6,-37.59993333,178.29955,"Te Koau, Hicks Bay"
argosarchus,horridus,argo_horr_7,-37.64496667,178.3043,"Karakatuwhero Valley, Waipiata"
argosarchus,horridus,argo_horr_8,-37.68333333,177.8833333,Pohueroro
argosarchus,horridus,argo_horr_9,-37.68985,178.5472167,East Cape lighthouse Trk
argosarchus,horridus,argo_horr_10,-37.98693333,176.189,"Te Pu, Mamakus"
argosarchus,horridus,argo_horr_11,-38.5169,175.5817667,Caterpillar Track
argosarchus,horridus,argo_horr_12,-38.56645,175.7178,"Kakaho, Puerora"
argosarchus,horridus,argo_horr_13,-38.63285,177.0321167,Huiarau Saddle
argosarchus,horridus,argo_horr_14,-38.65233333,178.0331,Gisborne
argosarchus,horridus,argo_horr_15,-38.78296667,177.1357,Maori Track
argosarchus,horridus,argo_horr_16,-38.11666667,176.2166667,Rotorua
argosarchus,horridus,argo_horr_17,-39.00311667,176.5538,Napier-Taupo Road
argosarchus,horridus,argo_horr_18,-39.0203,174.7994667,Tahora
argosarchus,horridus,argo_horr_19,-39.104305,176.80325,Boundary Stream
argosarchus,horridus,argo_horr_20,-39.02926667,174.25535,"Otaraoa, Taranaki"
argosarchus,horridus,argo_horr_21,-39.29725,174.4792833,Douglas
argosarchus,horridus,argo_horr_22,-39.318833,176.538167,"Puketitiri, Little Bush Res."
argosarchus,horridus,argo_horr_23,-39.32553333,174.2966333,Stratford
argosarchus,horridus,argo_horr_24,-39.3946,175.4271333,Rimu Track
argosarchus,horridus,argo_horr_25,-39.43375,175.3764667,Ohakune Lakes
argosarchus,horridus,argo_horr_26,-39.43841667,175.4539667,Mangaehuehue Reserve
argosarchus,horridus,argo_horr_27,-39.64491667,175.7138333,Paengaroa
argosarchus,horridus,argo_horr_28,-39.67198333,175.7949667,Mt Stewart
argosarchus,horridus,argo_horr_29,-39.72693333,175.1386333,Atene Skyline
argosarchus,horridus,argo_horr_30,-39.796611,176.194611,"E Ruahine Forest, Swamp Tk (Sunrise)"
argosarchus,horridus,argo_horr_31,-39.79608333,174.9269167,Bushy Park
argosarchus,horridus,argo_horr_32,-39.961,176.0140167,Oroua River
argosarchus,horridus,argo_horr_33,-40.00783333,176.1778667,Makaretu
argosarchus,horridus,argo_horr_34,-40.0828,175.9066667,Kahikatea Walk
argosarchus,horridus,argo_horr_35,-40.37091667,175.6329167,Palmerston North
argosarchus,horridus,argo_horr_36,-40.37173333,175.61485,Palmerston North
argosarchus,horridus,argo_horr_37,-40.42016667,176.03155,Waewaepa
argosarchus,horridus,argo_horr_38,-40.56205,176.0560667,Puketoi
argosarchus,horridus,argo_horr_39,-40.61816667,175.4818833,Mangaore Dam
argosarchus,horridus,argo_horr_40,-40.6414,172.4818833,"Mangarakau, West Haven, Nelson"
argosarchus,horridus,argo_horr_41,-40.70548333,175.6552667,W.A. Miller
argosarchus,horridus,argo_horr_42,-40.7744,175.6173167,Mount Bruce
argosarchus,horridus,argo_horr_43,-40.09168333,175.8295167,Ruahine
argosarchus,horridus,argo_horr_44,-40.85201667,174.9284167,Kapiti
argosarchus,horridus,argo_horr_45,-40.86075,175.8726833,Bideford
argosarchus,horridus,argo_horr_46,-40.99323333,175.50235,Fensham
argosarchus,horridus,argo_horr_47,-41.06081667,175.6038833,Carterton Res
argosarchus,horridus,argo_horr_48,-41.10565,175.2914667,Abbots Creek
argosarchus,horridus,argo_horr_49,-41.24568333,174.7945667,Kandallah
argosarchus,horridus,argo_horr_50,-41.24596667,174.7968333,"Wellington, Khandallah"
argosarchus,horridus,argo_horr_51,-41.25116667,174.7808667,"Ngaio, Wellington"
argosarchus,horridus,argo_horr_52,-41.26715,174.7574833,Wiltons Bush
argosarchus,horridus,argo_horr_53,-41.26863333,173.29205,Nelson
argosarchus,horridus,argo_horr_54,-41.30678333,174.8993,"Butterfly Ck, Wellington"
argosarchus,horridus,argo_horr_55,-41.34708333,174.9694333,Orongorongo
argosarchus,horridus,argo_horr_56,-41.34795,174.9315167,Catchpool Valley
argosarchus,horridus,argo_horr_57,-41.37463333,173.1032333,"Brightwater, Nelson"
argosarchus,horridus,argo_horr_58,-41.0817,175.3552167,Featherston
argosarchus,horridus,argo_horr_59,-41.7999,172.3284,Murchison
argosarchus,horridus,argo_horr_60,-41.96811667,173.9835833,"Kekerengu Valley Rd Site 1, Kaikoura"
argosarchus,horridus,argo_horr_61,-41.96981667,173.9862167,"Kekerengu Valley Rd Site 2, Kaikoura"
argosarchus,horridus,argo_horr_62,-41.13903333,174.82755,Porirua
argosarchus,horridus,argo_horr_63,-42.28621667,173.7304,Puhipuhi
argosarchus,horridus,argo_horr_64,-42.38351667,173.44845,Kahutara River
argosarchus,horridus,argo_horr_65,-42.4297,171.2958833,Sewell Peak
argosarchus,horridus,argo_horr_66,-42.51403333,173.5024,"Oaro, N.Canty."
argosarchus,horridus,argo_horr_67,-41.7032,173.8703,Blackbirch Stream
argosarchus,horridus,argo_horr_68,-42.763,171.4333833,Taipo River Valley
argosarchus,horridus,argo_horr_69,-43.63211667,172.62575,Kennedys Bush
argosarchus,horridus,argo_horr_70,-43.76636667,172.7146,Prices Bush
argosarchus,horridus,argo_horr_71,-43.8897,171.26045,Peel Forest
argosarchus,horridus,argo_horr_72,-44.0012,171.1505333,Waihi Gorge
argosarchus,horridus,argo_horr_73,-44.1844,169.2662167,Brady Creek
argosarchus,horridus,argo_horr_74,-44.34408333,170.8413167,Pareora Reserve
argosarchus,horridus,argo_horr_75,-44.44105,169.2712,Kidds Bush
argosarchus,horridus,argo_horr_76,-44.66473333,170.9727333,Gunns Bush
argosarchus,horridus,argo_horr_77,-44.6796,167.96325,Cleddau Valley
argosarchus,horridus,argo_horr_78,-44.92313333,168.0406167,Eglinton
argosarchus,horridus,argo_horr_79,-45.43998333,167.68555,Te Anau Control Gates
argosarchus,horridus,argo_horr_80,-45.06666667,168.5454167,Twelve Mile Delta
argosarchus,horridus,argo_horr_81,-45.80799,167.52545,Lk Monowai Rd
argosarchus,horridus,argo_horr_82,-45.88163333,170.5508667,The Cove
argosarchus,horridus,argo_horr_83,-45.92663333,170.0296833,Waipori Falls
argosarchus,horridus,argo_horr_84,-45.99021667,167.3832167,Lake Hauroko
argosarchus,horridus,argo_horr_85,-46.0065,168.4326,The Cone Forest
argosarchus,horridus,argo_horr_86,-46.35366667,168.0074333,Riverton Bridge
argosarchus,horridus,argo_horr_87,-37.14344645,175.6596612,Corromandel
argosarchus,horridus,argo_horr_88,-37.42871268,175.7283339,Karangahake Gorge
clitarchus,tepaki,clit-tepa_1,-34.407783,173.007183,North Cape Scientific Reserve
clitarchus,tepaki,clit-tepa_2,-34.430017,172.8667,Spirits Bay
clitarchus,tepaki,clit-tepa_3,-34.456383,172.98735,"Waikuku Flat, Tom Bowling Bay"
clitarchus,tepaki,clit-tepa_4,-34.4725,172.764417,"Kauri Bush, Te Paki"
clitarchus,tepaki,clit-tepa_5,-34.473183,172.764033,"Kauri Bush Trk, Te Paki"
clitarchus,tepaki,clit-tepa_6,-34.483333,172.816667,"Trk from Papawiri to Kohuranaki, Te Paki Rec Res"
clitarchus,tepaki,clit-tepa_7,-34.4914,172.836517,"Kohuranaki, Te Paki"
clitarchus,tepaki,clit-tepa_8,-34.539867,172.92015,"Parengarenga, Paua"
clitarchus,tepaki,clit-tepa_9,-34.559417,172.837717,Karatia Rd
clitarchus,rakauwhakanekeneke,clit-raka_1,-35.48060503,174.7437284,Aorangi
clitarchus,rakauwhakanekeneke,clit-raka_2,-35.45391226,174.7390467,Tawhiti Rahi
clitarchus,hookeri,clit-hook_1,-34.79785,173.0648,Trig Rd
clitarchus,hookeri,clit-hook_2,-34.943,173.195183,Heath Rd
clitarchus,hookeri,clit-hook_3,-35.027033,173.198917,Lake Ngatu
clitarchus,hookeri,clit-hook_4,-35.13685,173.879583,"Junction of SH10 and Takou Bay Rd, 2 km N of Te Whau, Kerikeri"
clitarchus,hookeri,clit-hook_5,-35.1581,173.42535,"Mangamuka Gorge Scenic Reserve, roadside"
clitarchus,hookeri,clit-hook_6,-35.184483,173.1219,"Ahipara, road to Gumlands"
clitarchus,hookeri,clit-hook_7,-35.205,173.183583,"Herekino Gorge, Kaitaia Awaroa Rd"
clitarchus,hookeri,clit-hook_8,-35.209783,173.194167,"Herekino Forest Track, Herekino Forest"
clitarchus,hookeri,clit-hook_9,-35.32085,174.0656,"Opua Forest, Oromahoe Rd"
clitarchus,hookeri,clit-hook_10,-35.358283,173.250733,"Pawarenga, Warawara Forest"
clitarchus,hookeri,clit-hook_11,-35.369317,173.283367,Warawara Forest
clitarchus,hookeri,clit-hook_12,-35.4445,173.755167,Whakaruangangana gumland
clitarchus,hookeri,clit-hook_13,-35.53775,173.382517,"Corner Signal Station Rd & SH12, Pakia rest area, Omapere"
clitarchus,hookeri,clit-hook_14,-35.652183,173.557083,Waipoua Forest
clitarchus,hookeri,clit-hook_15,-35.939817,175.146367,"Fanal I, Mokohinau Is"
clitarchus,hookeri,clit-hook_16,-35.895967,173.806117,"Roadside SH12, 2 km N of Babylon Coast Rd, Dargaville"
clitarchus,hookeri,clit-hook_17,-35.720467,173.649333,Trounson Kauri Park
clitarchus,hookeri,clit-hook_18,-36.060267,174.572633,"Roadside, Cove Rd, Robert Hastie Reserve"
clitarchus,hookeri,clit-hook_19,-35.866833,173.735833,"Maitahi Wetland Scientific Reserve, Maitahi Rd"
clitarchus,hookeri,clit-hook_20,-35.922667,173.854383,"Memorial Park, Dargaville"
clitarchus,hookeri,clit-hook_21,-36.06728283,174.5756056,Brynderwyn
clitarchus,hookeri,clit-hook_22,-35.8866,174.7783,"Coppermine I, Hen and Chicken Is, track campsite to Lighthouse"
clitarchus,hookeri,clit-hook_23,-36.11354,174.55425,NW of Mangawhai
clitarchus,hookeri,clit-hook_24,-36.505067,174.793523,"Home Bay, Motuora I"
clitarchus,hookeri,clit-hook_25,-36.504717,174.789933,"Still Bay, Motuora I"
clitarchus,hookeri,clit-hook_26,-36.351667,174.302,"Tapora, West of Wellsford"
clitarchus,hookeri,clit-hook_27,-36.537517,174.705283,"Wenderholm Regional Park, Waiwera"
clitarchus,hookeri,clit-hook_28,-36.5118,174.662433,"Puhoi Motorway extension, Puhoi"
clitarchus,hookeri,clit-hook_29,-36.447183,174.4419,Mt Auckland
clitarchus,hookeri,clit-hook_30,-36.695,174.696667,"Wright Rd, Redvale, Albany"
clitarchus,hookeri,clit-hook_31,-36.893717,174.450967,"Bethells, Matuku Res"
clitarchus,hookeri,clit-hook_32,-36.925583,174.603083,"Oratia, Auckland"
clitarchus,hookeri,clit-hook_33,-36.840233,174.612183,"Massey, Auckland, off Don Bucks Rd"
clitarchus,hookeri,clit-hook_34,-36.782183,174.993417,Waiheke Is
clitarchus,hookeri,clit-hook_35,-36.93555,174.635317,"Titirangi, Auckland"
clitarchus,hookeri,clit-hook_36,-36.696733,174.9738,"Noises Is, Otata I"
clitarchus,hookeri,clit-hook_37,-36.888233,174.6169,"Shona restoration plot, Border Rd, Opanuku stream, Henderson"
clitarchus,hookeri,clit-hook_38,-36.7266,174.6917,"Gills Reserve, Albany, North Shore"
clitarchus,hookeri,clit-hook_39,-36.72345,174.691967,"Lucas Creek, Albany"
clitarchus,hookeri,clit-hook_40,-36.831817,174.426317,"Muriwai Beach, Maori Bay Trk"
clitarchus,hookeri,clit-hook_41,-36.929333,174.751133,"Hillsborough, Auckland"
clitarchus,hookeri,clit-hook_42,-36.889583,174.726667,"Auckland, Mt Albert Res Centre"
clitarchus,hookeri,clit-hook_43,-36.8978,174.709317,"Owairaka, Auckland"
clitarchus,hookeri,clit-hook_44,-36.876417,174.795617,Remuera
clitarchus,hookeri,clit-hook_45,-36.866583,174.8284,"Auckland, Meadowbank"
clitarchus,hookeri,clit-hook_46,-36.916667,174.45,"Anawhata, Auckland"
clitarchus,hookeri,clit-hook_47,-36.9661,174.611717,"Parau Trk, Lower Nihoputu Reservoir, Auckland"
clitarchus,hookeri,clit-hook_48,-36.9767,175.256317,"Tapapakanga Reg.Park, Orere"
clitarchus,hookeri,clit-hook_49,-37.04155,175.290367,"Waharau Reg.Park, Hunua Ranges"
clitarchus,hookeri,clit-hook_50,-36.726617,175.614583,"Whangapoua, 4.6 km N of SH25 turnoff and Te Rerenga, Coromandel"
clitarchus,hookeri,clit-hook_51,-36.2196,175.056817,"Little Barrier I, DoC Rangers graden"
clitarchus,hookeri,clit-hook_52,-36.215667,175.057933,"Valley Track, Little Barrier Island"
clitarchus,hookeri,clit-hook_53,-36.241583,175.399533,"Great Barrier I, Whangaparapara, Witheys Track"
clitarchus,hookeri,clit-hook_54,-36.18335,175.37695,"Great Barrier I, Kaiarara Valley"
clitarchus,hookeri,clit-hook_55,-36.8804,175.428117,"Wilson Bay, SH25 roadside, 2.5 km N of Tapu, Coromandel"
clitarchus,hookeri,clit-hook_56,-36.974767,176.081283,"Ruamahuaiti Is, Alderman Is"
clitarchus,hookeri,clit-hook_57,-36.658383,175.84875,"Mercury Is, Korapuki"
clitarchus,hookeri,clit-hook_58,-37.026667,175.525,Waiomu
clitarchus,hookeri,clit-hook_59,-36.51195,175.419183,"3.7 km N of Stony Bay, on road to Stony Bay, Port Charles area"
clitarchus,hookeri,clit-hook_60,-37.143183,175.65905,"Start of Piranui trk, Kopu-Hikuai Rd"
clitarchus,hookeri,clit-hook_61,-37.147633,175.670767,"Coromandel summit, Kopu-Hikuai road"
clitarchus,hookeri,clit-hook_62,-36.755367,175.726733,"Kuaotona (Kuaotunu), Wharekano Rd, rest area, near Whitianga"
clitarchus,hookeri,clit-hook_63,-36.669733,175.454267,"19 km N of Coromandel town, S of Colville"
clitarchus,hookeri,clit-hook_64,-37.121317,175.62925,"Kauaeranga Valley, Thames"
clitarchus,hookeri,clit-hook_65,-37.393267,175.835917,Waihi
clitarchus,hookeri,clit-hook_66,-37.305217,176.256017,Mayor Island
clitarchus,hookeri,clit-hook_67,-37.279433,175.324033,"Waitakaruru Reserve, roadside"
clitarchus,hookeri,clit-hook_68,-37.967533,175.154283,"Mangakora Nature Walk, Mt Pirongia"
clitarchus,hookeri,clit-hook_69,-37.88,174.792333,"Mt Karioi, Pirongia State Forest Pk, Start of Waireke Track"
clitarchus,hookeri,clit-hook_70,-37.907333,174.898667,Bridal Veil Falls
